t,x,y,vx,vy
2.3e-05,-0.01985072189834651,0.09896247855213562,-857.158520533274,-89.64736578914848
2.4e-05,-0.020707494201211197,0.09887093364436542,-856.3809217736745,-93.44034149449709
2.4999999999999998e-05,-0.02156347347503469,0.09877560223829239,-855.5725069088311,-97.22028244032101
2.6e-05,-0.02241862903912742,0.09867649760682556,-854.7335482596296,-100.98671360821173
2.7e-05,-0.02327293048953782,0.09857363349399925,-853.8643269393858,-104.7391678027915
2.8e-05,-0.02412634770771816,0.09846702410704165,-852.9651325997137,-108.47718586682458
2.9e-05,-0.024978850868933478,0.09835668410823337,-852.0362631709253,-112.20031688619437
2.9999999999999997e-05,-0.025830410450408372,0.09824262860656605,-851.0780245974001,-115.90811838459788
3.1e-05,-0.026680997239206826,0.09812487314921162,-850.0907305683627,-119.60015650783123
3.2e-05,-0.02753058233984069,0.09800343371281237,-849.07470224451,-123.27600619756093
3.2999999999999996e-05,-0.028379137181602915,0.09787832669460263,-848.0302679809312,-126.93525135449785
3.4e-05,-0.029226633525622017,0.09774956890337257,-846.9577630467585,-130.57748499091167
3.5e-05,-0.030073043471634756,0.09761717755028486,-845.8575293419915,-134.20230937244506
3.6e-05,-0.03091833946447441,0.09748117023955484,-844.7299151119282,-137.80933614920704
3.7e-05,-0.03176249430027244,0.09734156495900498,-843.5752746596376,-141.39818647614612
3.7999999999999995e-05,-0.03260548113237187,0.09719838007050431,-842.3939680569001,-144.96849112272275
3.9e-05,-0.03344727347695096,0.09705163430030354,-841.1863608540402,-148.51989057192088
3.9999999999999996e-05,-0.034287845218356386,0.09690134672927642,-839.9528237890638,-152.0520351086567
4.1e-05,-0.035127170614145345,0.09674753678307797,-838.6937324965112,-155.56458489766118
4.2e-05,-0.03596522429983656,0.09659022422223018,-837.4094672164239,-159.0572100509309
4.2999999999999995e-05,-0.03680198129337045,0.09642942913214521,-836.1004125038166,-162.5295906848579
4.4e-05,-0.0376374169992792,0.09626517191309673,-834.7669569390358,-165.9814169671666
4.4999999999999996e-05,-0.038471507212567785,0.09609747327014932,-833.4094928393747,-169.4123891538006
4.6e-05,-0.039304228122307376,0.09592635420305591,-832.0284159723058,-172.8222176159174
4.7e-05,-0.04013555631494295,0.09575183599613316,-830.6241252706774,-176.21062285716317
4.8e-05,-0.040965468777317215,0.09557394020812428,-829.1970225502123,-179.57733552141266
4.9e-05,-0.041793942899413315,0.09539268866205884,-827.7475122296303,-182.9220963911722
4.9999999999999996e-05,-0.042620956476819086,0.09520810343511878,-826.2760010537066,-186.24465637685506
5.1e-05,-0.043446487712915996,0.09502020684851951,-824.782897819563,-189.54477649714954
5.2e-05,-0.04427051522079608,0.09482902145741519,-823.2686131064756,-192.8222278507099
5.3e-05,-0.04509301802491057,0.09463457004083631,-821.7335590094698,-196.07679157940973
5.4e-05,-0.04591397556245413,0.09443687559166837,-820.178148876957,-199.30825882340523
5.4999999999999995e-05,-0.04673336768448881,0.09423596130667933,-818.6027970526577,-202.51643066826395
5.6e-05,-0.04755117465681223,0.09403185057660386,-817.0079186220348,-205.7011180844207
5.6999999999999996e-05,-0.04836737716057446,0.09382456697629185,-815.3939291634537,-208.86214185922864
5.8e-05,-0.049181956292648564,0.09361413425492841,-813.7612445042654,-211.99933252187842
5.9e-05,-0.04999489356575976,0.09340057632633247,-812.1102804819996,-215.1125302614625
5.9999999999999995e-05,-0.05080617090837836,0.0931839172593406,-810.441452710835,-218.20158483846555
6.1e-05,-0.05161577066438197,0.09296418126828246,-808.755176353506,-221.26635548996444
6.2e-05,-0.05242367559249225,0.09274139270355419,-807.0518658987841,-224.30671082882333
6.3e-05,-0.05322986886549211,0.09251557604229536,-805.3319349446657,-227.32252873717104
6.4e-05,-0.05403433406922893,0.09228675587917527,-803.5957959873786,-230.31369625444825
6.5e-05,-0.05483705520140977,0.09205495691729376,-801.8438602163071,-233.2801094603121
6.599999999999999e-05,-0.055638016670194496,0.09182020395920155,-800.0765373149271,-236.22167335268554
6.7e-05,-0.05643720329259284,0.09158252189804493,-798.2942352678215,-239.13830172123693
6.8e-05,-0.05723460029267159,0.09134193570883897,-796.4973601738416,-242.02991701657433
6.9e-05,-0.05803019329957806,0.09109847043987378,-794.686316065463,-244.8964502154359
7e-05,-0.05882396834538591,0.09085215120425723,-792.8615047343741,-247.73784068215554
7.099999999999999e-05,-0.05961591186276983,0.09060300317159815,-791.0233255633242,-250.55403602667926
7.2e-05,-0.060406010682515096,0.09035105155983304,-789.1721753642463,-253.34499195940387
7.3e-05,-0.06119425203086846,0.09009632162719935,-787.3084482226594,-256.1106721431059
7.4e-05,-0.06198062352673653,0.08983883866435834,-785.4325353483448,-258.8510480422231
7.5e-05,-0.062765113178738,0.0895786279866697,-783.5448249322801,-261.5660987697472
7.599999999999999e-05,-0.06354770938211589,0.08931571492662052,-781.6457020098072,-264.2558109319796
7.7e-05,-0.0643284009155161,0.08905012482641037,-779.735548329999,-266.92017847139806
7.8e-05,-0.06510717693763839,0.08878188303069436,-777.8147422311822,-269.55920250787415
7.9e-05,-0.06588402698376591,0.08851101487948575,-775.883658522566,-272.17289117847747
7.999999999999999e-05,-0.06665894096217947,0.08823754570121939,-773.9426683719174,-274.7612594760944
8.099999999999999e-05,-0.06743190915046239,0.08796150080597695,-771.992139199218,-277.3243290870835
8.2e-05,-0.06820292219170203,0.08768290547887497,-770.032434576228,-279.86212822818277
8.3e-05,-0.06897197109059375,0.08740178497361624,-768.0639141318801,-282.3746914828764
8.4e-05,-0.06973904720945323,0.08711816450620503,-766.086933463417,-284.862059637423
8.499999999999999e-05,-0.07050414226414267,0.08683206924882637,-764.1018440531818,-287.3242795167386
8.599999999999999e-05,-0.07126724831991661,0.08654352432388944,-762.1089931909659,-289.76140382032156
8.7e-05,-0.07202835778719284,0.08625255479823492,-760.1087239018136,-292.17349095839876
8.8e-05,-0.07278746341725377,0.08595918567750606,-758.1013748791788,-294.56060488846543
8.9e-05,-0.07354455829788363,0.0856634419006829,-756.0872804233243,-296.92281495238336
8.999999999999999e-05,-0.07429963584894661,0.08536534833477905,-754.0667703848519,-299.2601957141953
9.099999999999999e-05,-0.07505268981791106,0.08506492976970025,-752.0401701132485,-301.5728267988054
9.2e-05,-0.07580371427532472,0.08476221091326377,-750.0078004103274,-303.8607927316696
9.3e-05,-0.07655270361024567,0.08445721638637756,-747.9699774884479,-306.12418277963064
9.4e-05,-0.07729965252563405,0.08414997071837782,-745.9270129333863,-308.36309079302737
9.499999999999999e-05,-0.07804455603370872,0.083840498342524,-743.8792136717371,-310.57761504919984
9.6e-05,-0.07878740945127366,0.08352882359164931,-741.8268819427157,-312.76785809750453
9.7e-05,-0.07952820839501826,0.08321497069396563,-739.7703152742372,-314.933926605948
9.8e-05,-0.0802669487767958,0.08289896376902074,-737.7098064631425,-317.07593120953976
9.9e-05,-0.08100362679888416,0.08258082682380641,-735.6456435594428,-319.1939863604594
9.999999999999999e-05,-0.08173823894923275,0.08226058374901539,-733.5781098544534,-321.28821018012576
0.000101,-0.08247078199669944,0.0819382583154453,-731.5074838726891,-323.3587243132496
0.000102,-0.08320125298628121,0.08161387417054741,-729.4340393673905,-325.4056537839462
0.000103,-0.08392964923434218,0.08128745483511837,-727.3580453195531,-327.4291268539768
0.000104,-0.08465596832384217,0.08095902370013246,-725.2797659403326,-329.42927488318276
0.00010499999999999999,-0.08538020809956955,0.0806286040237124,-723.1994606766979,-331.4062321921704
0.000106,-0.08610236666338106,0.08029621892823628,-721.117384220206,-333.3601359272999
0.000107,-0.08682244236945214,0.07996189139757831,-719.033786518774,-335.2911259280238
0.000108,-0.08754043381954033,0.0796256442744811,-716.9489127913253,-337.19934459661874
0.00010899999999999999,-0.08825633985826475,0.0792875002580569,-714.8630035451855,-339.0849367703467
0.00010999999999999999,-0.08897015956840432,0.0789474819014156,-712.7762945961116,-340.94804959607785
0.000111,-0.08968189226621723,0.07860561160941665,-710.6890170908307,-342.78883240740316
0.000112,-0.09039153749678422,0.07826191163654286,-708.6013975319761,-344.6074366042595
0.000113,-0.09109909502937787,0.07791640408489311,-706.513657805302,-346.40401553508593
0.00011399999999999999,-0.09180456485286026,0.07756911090229175,-704.4260152090671,-348.178724381527
0.00011499999999999999,-0.09250794717111101,0.07722005388051192,-702.3386824854739,-349.9317200456923
0.000116,-0.09320924239848778,0.07686925465361046,-700.2518678540566,-351.66316103998105
0.000117,-0.09390845115532105,0.07651673469637156,-698.165775046912,-353.373207379474
0.000118,-0.09460557426344501,0.07616251532285691,-696.0806033456677,-355.06202047689396
0.00011899999999999999,-0.09530061274176634,0.07580661768505942,-693.9965476200879,-356.72976304013076
0.00011999999999999999,-0.09599356780187215,0.07544906277165825,-691.9137983682178,-358.3765989723257
0.000121,-0.09668444084367911,0.07508987140687248,-689.8325417579694,-360.0026932745057
0.000122,-0.09737323345112453,0.07472906424941081,-687.7529596700549,-361.6082119507558
0.00012299999999999998,-0.09805994738790125,0.0743666617915149,-685.6752297421782,-363.1933219159155
0.000124,-0.09874458459323714,0.07400268435809366,-683.5995254143926,-364.7581909057828
0.000125,-0.09942714717772064,0.07363715210594626,-681.5260159755416,-366.3029873898063
0.000126,-0.10010763741917318,0.07327008502307099,-679.4548666106972,-367.8278804862444
0.000127,-0.1007860577585695,0.0729015029280579,-677.3862384495161,-369.3330398797691
0.000128,-0.10146241079600674,0.07253142546956261,-675.3202886154343,-370.81863574148883
0.000129,-0.1021366992867232,0.07215987212585878,-673.2571702756244,-372.2848386513638
0.00013,-0.1028089261371673,0.07178686220446716,-671.1970326916437,-373.731819522986
0.00013099999999999999,-0.10347909440111755,0.07141241484185851,-669.1400212707001,-375.15974953069355
0.00013199999999999998,-0.10414720727585408,0.07103654900322838,-667.0862776174694,-376.56880003898937
0.000133,-0.10481326809838222,0.0706592834823413,-665.0359395863967,-377.95914253423064
0.000134,-0.10547728034170857,0.07028063690144208,-662.9891413344208,-379.33094855855677
0.000135,-0.10613924761117007,0.06990062771123225,-660.9460133740577,-380.6843896460209
0.000136,-0.10679917364081618,0.06951927419090907,-658.9066826267874,-382.01963726089014
0.000137,-0.10745706228984468,0.06913659444826536,-656.8712724766865,-383.3368627380776
0.000138,-0.10811291753909115,0.06875260641984769,-654.8399028242522,-384.6362372256709
