t,x,y,vx,vy
0.0,0.0,1.0,-14049.36411530743,0.0
1e-05,-0.14003484832341226,0.9901790670868157,-13910.011594726393,-1967.2843506591935
2e-05,-0.2773056222602932,0.9608469002334347,-13496.591778863354,-3895.5537471033404
3.0000000000000004e-05,-0.4091079743842412,0.9125838602376013,-12817.305127471445,-5746.840554404363
4e-05,-0.5328457830162776,0.8463429543559786,-11885.575764828625,-7484.712751214696
5e-05,-0.6460821242380153,0.7634309001479458,-10719.780828906536,-9074.98551176673
6.000000000000001e-05,-0.7465870565057142,0.6654822919781425,-9342.884507367973,-10486.386731249233
7.000000000000001e-05,-0.8323813016026075,0.5544273933174786,-7781.984431177849,-11691.16414186126
8e-05,-0.9017749899602475,0.4324541953851771,-6067.779584120754,-12665.622923883971
9e-05,-0.9534007365503206,0.30196548674798823,-4233.97017257683,-13390.5841196758
0.0001,-0.986240423555493,0.16553176792726268,-2316.600980103679,-13851.755677939389
0.00011,-0.9996451858076942,0.02584091883951367,-353.36060530794,-14040.009563858928
0.00012000000000000002,-0.9933482224806967,-0.1143544157574801,1617.1503487848668,-13951.560044541135
0.00013000000000000002,-0.9674701917133459,-0.2522907172782288,3556.1685971196757,-13588.039979030189
0.00014000000000000001,-0.9225170817225663,-0.3852477322438269,5425.521199946023,-12956.47369143789
0.00015000000000000001,-0.8593705905653729,-0.5106018251730162,7188.368415176513,-12069.14676992148
0.00016,-0.7792711850571304,-0.6258775237007154,8809.922619995094,-10943.374899708844
0.00017,-0.6837941454674172,-0.7287962640323853,10258.129869519882,-9601.175591054449
0.00018,-0.5748190344833448,-0.8173213920786543,11504.301187078932,-8068.848387174515
0.00019,-0.45449315449916505,-0.8896985398741376,12523.681415125657,-6376.470814341939
0.0002,-0.32518967446179203,-0.9444905775899315,13295.944402212137,-4557.318944297372
0.00021,-0.18946121414116768,-0.9806064377822276,13805.604462215282,-2647.222951767724
0.00022,-0.049989767659511214,-0.9973232193790914,14042.33541630123,-683.869436936888
0.00023,0.09046607270622836,-0.9943011028722505,14001.19011008846,1293.9364896006844
0.00024000000000000003,0.2291255690602825,-0.9715907434779102,13682.71507582799,3247.0353298572645
0.00025,0.36324089966674,-0.9296329535179195,13092.95696213179,5136.688700851065
0.00026000000000000003,0.4901517394535543,-0.8692506364376906,12243.359453244693,6925.350858096712
0.00027,0.6073382668760505,-0.7916330898579552,11150.551608572254,8577.42065473216
0.00028000000000000003,0.7124715253690358,-0.6983129506852425,9836.030825056341,10059.958453835667
0.00029,0.8034601110248728,-0.5911362081735827,8325.745906320799,11343.352964375586
0.00030000000000000003,0.8784922241579673,-0.47222585738147776,6649.5879536016055,12401.923783639673
0.00031,0.9360722102380123,-0.343939902108905,4840.798910909972,13214.44659873192
0.00032,0.9750508238374042,-0.20882453961990638,2935.309536242693,13764.589511661403
0.00033000000000000005,0.9946485756484624,-0.0695634659660673,971.0202696158233,14041.2507781404
0.00034,0.9944716645895001,0.0710756724153554,-1012.9601298271477,14038.790347900205
0.00035000000000000005,0.9745201513095765,0.21029659041230198,-2977.102250155146,13757.149910754613
0.00036,0.9351881923592966,0.3453303080947476,-4882.253397703559,13201.858624612083
0.00037000000000000005,0.8772563219456054,0.4734905800139386,-6690.427811341912,12383.92425883404
0.00038,0.8018759363851898,0.5922276733903918,-8365.57301406822,11319.61205446223
0.00039000000000000005,0.710546300943523,0.6991793942132215,-9874.29616472189,10030.116107074457
0.0004,0.6050845556522926,0.7922183202752666,-11186.53523415077,8541.130446522595
0.00041000000000000005,0.48758934216600436,0.8694942829053918,-12276.16115068255,6882.329154944745
0.00042,0.3603988043772679,0.9294712423273183,-13121.498693613217,5086.7667736797075
0.00043000000000000004,0.22604382849218072,0.9709578223585221,-13705.755805861536,3190.211855771193
0.00044,0.08719748128595528,0.9931309053578108,-14017.35308701101,1230.4277910636727
0.00045000000000000004,-0.05337832334483389,0.9955518344712799,-14050.14745173306,-753.5840537878612
0.00046,-0.19288785066116867,0.9781749237218006,-13803.5462322346,-2722.363283889148
0.00047000000000000004,-0.3285571595960649,0.9413481337454607,-13282.510306029444,-4636.775717710561
0.00048000000000000007,-0.45768919802612795,0.8858059285220165,-12497.447086468137,-6458.7892657233
0.0004900000000000001,-0.5777172905663726,0.8126544830076631,-11463.996374691613,-8152.225243159252
0.0005,-0.6862559708704249,0.7233495601728634,-10202.714097908083,-9683.470649395242
0.00051,-0.7811481700916252,0.6196675159243428,-8738.66081879026,-11022.137929178589
0.0005200000000000001,-0.8605078505072976,0.503670019456905,-7100.903571589634,-12141.659924421137
0.0005300000000000001,-0.9227572663566567,0.37766319280996286,-5321.9410473421685,-13019.809093587653
0.00054,-0.9666581406056411,0.24415197521884757,-3437.0634050323633,-13639.131584905183
0.00055,-0.9913361644871266,0.10579060399887488,-1483.6590247098454,-13987.288369082706
0.0005600000000000001,-0.9962983541185289,-0.03466982678484351,499.5186572035457,-14057.297340166111
0.0005700000000000001,-0.9814429331327683,-0.17443571644411066,2473.1104783864903,-13847.672056705358
0.00058,-0.9470615499628391,-0.31072616886555837,4397.9228925818425,-13362.454600254583
0.00059,-0.8938337811114296,-0.4408280009320177,6235.696973815304,-12611.141857764442
0.0006000000000000001,-0.8228140153469979,-0.562149486553434,7949.860745294544,-11608.506373678845
0.0006100000000000001,-0.7354109562260842,-0.6722717953075689,9506.250714877324,-10374.314751859265
0.00062,-0.6333601195569452,-0.7689971235587691,10873.788929266388,-8932.94840115556
0.00063,-0.5186898362634375,-0.8503925727515649,12025.102504428147,-7312.933193578088
0.00064,-0.39368139740710373,-0.9148289038762253,12937.073454689538,-5546.386319351977
0.0006500000000000001,-0.26082409466476925,-0.961013388155191,13591.307731047813,-3668.3902534016825
